datetime,rrday,snow,tday,tmax,tmin
2016-10-15T00:00:00Z,-1.0,-1.0,5.0,6.4,2.7
2016-10-16T00:00:00Z,-1.0,-1.0,6.0,7.1,5.1
2016-10-17T00:00:00Z,-1.0,-1.0,6.8,7.5,5.2
2016-10-18T00:00:00Z,-1.0,-1.0,6.5,7.5,5.3
2016-10-19T00:00:00Z,-1.0,-1.0,6.2,8.4,4.6
2016-10-20T00:00:00Z,-1.0,-1.0,6.2,7.8,4.9
2016-10-21T00:00:00Z,-1.0,-1.0,4.0,6.2,3.5
2016-10-22T00:00:00Z,-1.0,-1.0,3.8,4.3,3.0
2016-10-23T00:00:00Z,0.3,-1.0,5.8,6.9,4.3
2016-10-24T00:00:00Z,0.6,-1.0,5.4,6.5,4.4
2016-10-25T00:00:00Z,0.5,-1.0,2.8,6.4,1.3
2016-10-26T00:00:00Z,9.3,-1.0,1.2,2.4,-0.9
2016-10-27T00:00:00Z,5.8,-1.0,6.8,8.8,-1.2
2016-10-28T00:00:00Z,6.3,-1.0,8.5,9.4,7.7
2016-10-29T00:00:00Z,0.3,-1.0,4.6,7.7,3.8
2016-10-30T00:00:00Z,-1.0,-1.0,3.4,5.0,1.4
2016-10-31T00:00:00Z,0.1,-1.0,1.6,3.6,-0.1
2016-11-01T00:00:00Z,0.5,-1.0,1.8,4.3,-1.7
2016-11-02T00:00:00Z,7.0,-1.0,0.0,2.2,-1.9
2016-11-03T00:00:00Z,-1.0,4.0,-1.8,-0.1,-2.4
2016-11-04T00:00:00Z,-1.0,3.0,-2.4,-0.1,-4.5
2016-11-05T00:00:00Z,-1.0,4.0,-3.4,-1.9,-5.2
2016-11-06T00:00:00Z,0.6,3.0,-4.5,-3.1,-6.2
2016-11-07T00:00:00Z,4.6,5.0,-4.4,-3.6,-4.8
2016-11-08T00:00:00Z,4.8,11.0,-5.8,-4.7,-7.0
2016-11-09T00:00:00Z,8.0,17.0,-2.1,0.0,-5.2
2016-11-10T00:00:00Z,1.4,19.0,-3.0,0.8,-4.5
2016-11-11T00:00:00Z,-1.0,17.0,-8.1,-4.5,-10.3
2016-11-12T00:00:00Z,-1.0,16.0,-3.2,-0.7,-10.4
2016-11-13T00:00:00Z,0.2,14.0,-0.6,0.4,-1.2
2016-11-14T00:00:00Z,0.7,13.0,-1.8,-0.4,-4.3
2016-11-15T00:00:00Z,5.6,12.0,0.4,1.9,-1.7
2016-11-16T00:00:00Z,1.3,9.0,2.4,2.9,1.2
2016-11-17T00:00:00Z,2.0,4.0,4.3,5.5,2.4
2016-11-18T00:00:00Z,1.7,-1.0,4.6,5.6,2.8
2016-11-19T00:00:00Z,6.5,-1.0,6.3,7.1,5.2
2016-11-20T00:00:00Z,9.4,-1.0,4.4,6.1,1.3
2016-11-21T00:00:00Z,0.2,-1.0,6.5,7.6,4.7
2016-11-22T00:00:00Z,0.7,-1.0,4.5,7.3,3.6
2016-11-23T00:00:00Z,2.6,-1.0,4.4,5.0,3.6
2016-11-24T00:00:00Z,0.5,-1.0,3.8,6.1,1.6
2016-11-25T00:00:00Z,7.8,-1.0,0.6,1.6,-0.6
2016-11-26T00:00:00Z,0.6,-1.0,4.4,5.9,1.6
2016-11-27T00:00:00Z,0.4,-1.0,-1.2,3.4,-4.2
2016-11-28T00:00:00Z,-1.0,-1.0,-3.8,-2.0,-5.9
2016-11-29T00:00:00Z,0.9,-1.0,-3.5,2.3,-8.2
2016-11-30T00:00:00Z,-1.0,-1.0,1.7,3.3,0.8
2016-12-01T00:00:00Z,-1.0,-1.0,-0.6,1.0,-1.1
2016-12-02T00:00:00Z,-1.0,-1.0,-2.8,-1.1,-4.7
2016-12-03T00:00:00Z,-1.0,-1.0,-4.0,-1.5,-6.0
2016-12-04T00:00:00Z,0.4,-1.0,-4.4,1.2,-9.3
2016-12-05T00:00:00Z,-1.0,-1.0,2.7,6.9,0.7
2016-12-06T00:00:00Z,-1.0,-1.0,-7.8,0.7,-9.9
2016-12-07T00:00:00Z,4.3,-1.0,0.5,2.2,-11.0
2016-12-08T00:00:00Z,-1.0,-1.0,2.1,3.3,1.3
2016-12-09T00:00:00Z,-1.0,-1.0,1.5,2.9,0.6
2016-12-10T00:00:00Z,-1.0,-1.0,-4.9,0.6,-6.5
2016-12-11T00:00:00Z,-1.0,-1.0,-7.7,-6.4,-9.2
2016-12-12T00:00:00Z,-1.0,-1.0,-5.3,-1.9,-9.2
2016-12-13T00:00:00Z,1.3,-1.0,-0.9,1.0,-2.3
2016-12-14T00:00:00Z,-1.0,-1.0,-1.1,1.3,-2.9
2016-12-15T00:00:00Z,-1.0,-1.0,-0.3,2.9,-3.1
2016-12-16T00:00:00Z,-1.0,-1.0,-1.4,0.5,-2.2
2016-12-17T00:00:00Z,1.3,-1.0,-1.2,1.3,-3.7
2016-12-18T00:00:00Z,0.1,-1.0,0.3,0.9,-0.2
2016-12-19T00:00:00Z,0.1,-1.0,1.7,2.5,0.2
2016-12-20T00:00:00Z,0.1,-1.0,2.5,3.5,0.5
2016-12-21T00:00:00Z,-1.0,-1.0,3.4,4.1,2.7
2016-12-22T00:00:00Z,-1.0,-1.0,4.3,4.9,3.5
2016-12-23T00:00:00Z,-1.0,-1.0,3.7,4.6,2.5
2016-12-24T00:00:00Z,4.0,-1.0,3.8,4.8,1.0
2016-12-25T00:00:00Z,0.6,-1.0,3.5,4.4,2.6
2016-12-26T00:00:00Z,1.9,-1.0,4.6,6.9,2.3
2016-12-27T00:00:00Z,-1.0,-1.0,1.1,3.9,0.2
2016-12-28T00:00:00Z,-1.0,-1.0,-0.4,1.5,-1.8
2016-12-29T00:00:00Z,-1.0,-1.0,2.6,3.8,-2.1
2016-12-30T00:00:00Z,-1.0,-1.0,4.4,5.3,3.2
2016-12-31T00:00:00Z,-1.0,-1.0,5.9,7.0,4.8
2017-01-01T00:00:00Z,-1.0,-1.0,1.3,6.1,-1.1
2017-01-02T00:00:00Z,4.9,-1.0,-3.5,0.1,-4.2
2017-01-03T00:00:00Z,4.0,6.0,-6.8,-3.9,-9.8
2017-01-04T00:00:00Z,-1.0,11.0,-12.2,-3.7,-18.0
2017-01-05T00:00:00Z,-1.0,9.0,-17.3,-15.8,-18.1
2017-01-06T00:00:00Z,0.1,8.0,-16.9,-14.9,-21.0
2017-01-07T00:00:00Z,2.6,7.0,-3.5,-0.3,-16.5
2017-01-08T00:00:00Z,0.1,9.0,-0.1,1.7,-2.2
2017-01-09T00:00:00Z,0.1,8.0,0.8,2.0,-0.7
2017-01-10T00:00:00Z,0.1,5.0,2.0,3.2,1.2
2017-01-11T00:00:00Z,-1.0,0.0,-1.1,1.2,-3.2
2017-01-12T00:00:00Z,4.4,0.0,-2.3,-1.6,-3.5
2017-01-13T00:00:00Z,-1.0,5.0,1.5,2.5,-1.9
2017-01-14T00:00:00Z,0.2,0.0,1.2,2.0,0.6
2017-01-15T00:00:00Z,0.1,0.0,-2.3,1.0,-4.3
2017-01-16T00:00:00Z,-1.0,0.0,-3.7,-1.8,-6.9
2017-01-17T00:00:00Z,-1.0,0.0,-2.9,-0.2,-6.4
2017-01-18T00:00:00Z,0.1,0.0,1.4,2.1,-0.5
2017-01-19T00:00:00Z,-1.0,-1.0,1.8,2.2,1.1
2017-01-20T00:00:00Z,0.2,-1.0,0.0,2.7,-1.4
2017-01-21T00:00:00Z,0.3,-1.0,-1.0,0.8,-2.0
2017-01-22T00:00:00Z,-1.0,-1.0,1.5,3.3,-2.0
2017-01-23T00:00:00Z,-1.0,-1.0,0.3,1.3,-0.4
2017-01-24T00:00:00Z,-1.0,-1.0,-1.9,1.3,-4.7
