,cancelled,commuterLineID,departureDate,runningCurrently,trainNumber,trainType
0,False,A,2016-10-15,False,8065,HL
1,False,A,2016-10-15,False,8066,HL
2,False,A,2016-10-15,False,8081,HL
3,False,A,2016-10-15,False,8082,HL
4,False,A,2016-10-15,False,8087,HL
5,False,A,2016-10-15,False,8088,HL
6,False,A,2016-10-15,False,8095,HL
7,False,A,2016-10-15,False,8096,HL
8,False,A,2016-10-15,False,8101,HL
9,False,A,2016-10-15,False,8102,HL
10,False,A,2016-10-15,False,8107,HL
11,False,A,2016-10-15,False,8108,HL
12,False,A,2016-10-15,False,8115,HL
13,False,A,2016-10-15,False,8116,HL
14,False,A,2016-10-15,False,8121,HL
15,False,A,2016-10-15,False,8122,HL
16,False,A,2016-10-15,False,8127,HL
17,False,A,2016-10-15,False,8128,HL
18,False,A,2016-10-15,False,8135,HL
19,False,A,2016-10-15,False,8136,HL
20,False,A,2016-10-15,False,8141,HL
21,False,A,2016-10-15,False,8142,HL
22,False,A,2016-10-15,False,8147,HL
23,False,A,2016-10-15,False,8148,HL
24,False,A,2016-10-15,False,8155,HL
25,False,A,2016-10-15,False,8156,HL
26,False,A,2016-10-15,False,8175,HL
27,False,A,2016-10-15,False,8176,HL
28,False,A,2016-10-15,False,8185,HL
29,False,A,2016-10-15,False,8186,HL
30,False,A,2016-10-15,False,8195,HL
31,False,A,2016-10-15,False,8196,HL
32,False,A,2016-10-15,False,8205,HL
33,False,A,2016-10-15,False,8206,HL
34,False,A,2016-10-15,False,8215,HL
35,False,A,2016-10-15,False,8216,HL
36,False,A,2016-10-15,False,8225,HL
37,False,A,2016-10-15,False,8226,HL
38,False,A,2016-10-15,False,8241,HL
39,False,A,2016-10-15,False,8242,HL
40,False,A,2016-10-15,False,8245,HL
41,False,A,2016-10-15,False,8246,HL
42,False,A,2016-10-15,False,8247,HL
43,False,A,2016-10-15,False,8248,HL
44,False,A,2016-10-15,False,8251,HL
45,False,A,2016-10-15,False,8252,HL
46,False,A,2016-10-15,False,8255,HL
47,False,A,2016-10-15,False,8256,HL
48,False,A,2016-10-15,False,8257,HL
49,False,A,2016-10-15,False,8258,HL
50,False,A,2016-10-15,False,8261,HL
51,False,A,2016-10-15,False,8262,HL
52,False,A,2016-10-15,False,8265,HL
53,False,A,2016-10-15,False,8266,HL
54,False,A,2016-10-16,False,8101,HL
55,False,A,2016-10-16,False,8102,HL
56,False,A,2016-10-16,False,8107,HL
57,False,A,2016-10-16,False,8108,HL
58,False,A,2016-10-16,False,8115,HL
59,False,A,2016-10-16,False,8116,HL
60,False,A,2016-10-16,False,8121,HL
61,False,A,2016-10-16,False,8122,HL
62,False,A,2016-10-16,False,8127,HL
63,False,A,2016-10-16,False,8128,HL
64,False,A,2016-10-16,False,8135,HL
65,False,A,2016-10-16,False,8136,HL
